SourceFile,SourceCreated,SourceModified,SourceAccessed,AppId,AppIdDescription,DestListVersion,LastUsedEntryNumber,MRU,EntryNumber,CreationTime,LastModified,Hostname,MacAddress,Path,InteractionCount,PinStatus,FileBirthDroid,FileDroid,VolumeBirthDroid,VolumeDroid,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,CommonPath,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,TrackerCreatedOn,ExtraBlocksPresent,Arguments,Notes
E:\download\202204\JLECmd\AutomaticDestinations\1b4dd67f29cb1962.automaticDestinations-ms,2022-04-19 14:57:15,2015-03-25 15:28:47,2022-04-19 14:58:24,1b4dd67f29cb1962,Windows Explorer Pinned and Recent.,1,17,0,C,2015-03-25 10:18:51,2015-03-25 15:28:47,informant-pc,00:0c:29:ff:24:29,C:\Users\informant\Desktop,0,False,559dd00e-d2d8-11e4-a640-000c29ff2429,559dd00e-d2d8-11e4-a640-000c29ff2429,2e651ec6-993a-4e70-9087-52185bc0a486,2e651ec6-993a-4e70-9087-52185bc0a486,2015-03-22 14:34:41,2015-03-24 18:48:40,2015-03-24 18:48:40,4096,,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, IsUnicode",Fixed storage media (Hard drive),CA0C7A48,,C:\Users\informant\Desktop,,C:\Users\informant\Desktop\,,,informant-pc,00:0c:29:ff:24:29,2015-03-25 10:18:51,"PropertyStoreDataBlock, TrackerDataBaseBlock",,
E:\download\202204\JLECmd\AutomaticDestinations\1b4dd67f29cb1962.automaticDestinations-ms,2022-04-19 14:57:15,2015-03-25 15:28:47,2022-04-19 14:58:24,1b4dd67f29cb1962,Windows Explorer Pinned and Recent.,1,17,1,11,,2015-03-24 21:01:10,,,D:\,0,False,,,,,2015-03-24 20:53:17,2015-03-24 20:58:06,2015-03-24 20:58:06,668,,,"FileAttributeReadonly, FileAttributeDirectory","HasTargetIdList, HasLinkInfo, IsUnicode","Optical disc (CD-ROM, DVD, BD)",AE88F176,IAMAN CD,D:\,,My Computer\D:,,,,,,PropertyStoreDataBlock,,
E:\download\202204\JLECmd\AutomaticDestinations\1b4dd67f29cb1962.automaticDestinations-ms,2022-04-19 14:57:15,2015-03-25 15:28:47,2022-04-19 14:58:24,1b4dd67f29cb1962,Windows Explorer Pinned and Recent.,1,17,2,10,,2015-03-24 20:44:18,,,D:\de\winter_whether_advisory.zip\ppt\slideMasters,0,False,,,,,,,,0,,,0,"HasTargetIdList, IsUnicode",(None),,,,,My Computer\D:\de\winter_whether_advisory.zip\ppt\slideMasters,,,,,,PropertyStoreDataBlock,,
E:\download\202204\JLECmd\AutomaticDestinations\1b4dd67f29cb1962.automaticDestinations-ms,2022-04-19 14:57:15,2015-03-25 15:28:47,2022-04-19 14:58:24,1b4dd67f29cb1962,Windows Explorer Pinned and Recent.,1,17,3,F,,2015-03-24 20:44:16,,,D:\de\winter_whether_advisory.zip\ppt\slides,0,False,,,,,,,,0,,,0,"HasTargetIdList, IsUnicode",(None),,,,,My Computer\D:\de\winter_whether_advisory.zip\ppt\slides,,,,,,PropertyStoreDataBlock,,
E:\download\202204\JLECmd\AutomaticDestinations\1b4dd67f29cb1962.automaticDestinations-ms,2022-04-19 14:57:15,2015-03-25 15:28:47,2022-04-19 14:58:24,1b4dd67f29cb1962,Windows Explorer Pinned and Recent.,1,17,4,E,,2015-03-24 20:44:14,,,D:\de\winter_whether_advisory.zip\ppt,0,False,,,,,,,,0,,,0,"HasTargetIdList, IsUnicode",(None),,,,,My Computer\D:\de\winter_whether_advisory.zip\ppt,,,,,,PropertyStoreDataBlock,,
E:\download\202204\JLECmd\AutomaticDestinations\1b4dd67f29cb1962.automaticDestinations-ms,2022-04-19 14:57:15,2015-03-25 15:28:47,2022-04-19 14:58:24,1b4dd67f29cb1962,Windows Explorer Pinned and Recent.,1,17,5,D,,2015-03-24 20:44:13,,,D:\de\winter_whether_advisory.zip,0,False,,,,,2014-12-16 16:10:26,2014-12-16 16:10:26,2015-03-24 20:40:55,16381123,,,FileAttributeReadonly,"HasTargetIdList, HasLinkInfo, IsUnicode","Optical disc (CD-ROM, DVD, BD)",E297F1A5,IAMAN CD,D:\de\winter_whether_advisory.zip,,My Computer\D:\de\winter_whether_advisory.zip,0xF,,,,,PropertyStoreDataBlock,,
E:\download\202204\JLECmd\AutomaticDestinations\1b4dd67f29cb1962.automaticDestinations-ms,2022-04-19 14:57:15,2015-03-25 15:28:47,2022-04-19 14:58:24,1b4dd67f29cb1962,Windows Explorer Pinned and Recent.,1,17,6,B,,2015-03-24 14:01:29,,,E:\Secret Project Data\design\winter_whether_advisory.zip\ppt,0,False,,,,,,,,0,,,0,"HasTargetIdList, IsUnicode",(None),,,,,My Computer\E:\Secret Project Data\design\winter_whether_advisory.zip\ppt,,,,,,PropertyStoreDataBlock,,
E:\download\202204\JLECmd\AutomaticDestinations\1b4dd67f29cb1962.automaticDestinations-ms,2022-04-19 14:57:15,2015-03-25 15:28:47,2022-04-19 14:58:24,1b4dd67f29cb1962,Windows Explorer Pinned and Recent.,1,17,7,A,,2015-03-24 14:01:23,,,E:\Secret Project Data\design\winter_whether_advisory.zip,0,False,,,,,2015-03-24 13:59:37,2014-12-16 16:10:26,2015-03-24 04:00:00,16381123,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode",Fixed storage media (Hard drive),9E6A5B82,IAMAN $_@,E:\Secret Project Data\design\winter_whether_advisory.zip,,My Computer\E:\Secret Project Data\design\winter_whether_advisory.zip,0x402100,,,,,PropertyStoreDataBlock,,
E:\download\202204\JLECmd\AutomaticDestinations\1b4dd67f29cb1962.automaticDestinations-ms,2022-04-19 14:57:15,2015-03-25 15:28:47,2022-04-19 14:58:24,1b4dd67f29cb1962,Windows Explorer Pinned and Recent.,1,17,8,9,2015-03-22 14:49:08,2015-03-23 20:27:33,,00:0c:29:cc:00:8c,V:\Secret Project Data\final,0,False,97f0d7af-d0a2-11e4-9804-000c29cc008c,97f0d7af-d0a2-11e4-9804-000c29cc008c,df81a59c-ffc2-47b4-a00c-576d63471689,df81a59c-ffc2-47b4-a00c-576d63471689,2015-03-22 14:52:21,2015-03-22 14:52:21,2015-03-22 14:52:21,0,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode",(None),,,,Secret Project Data\final,My Computer\V:\Secret Project Data\final,0xA828,0x1,,00:0c:29:cc:00:8c,2015-03-22 14:49:08,"PropertyStoreDataBlock, TrackerDataBaseBlock",,
E:\download\202204\JLECmd\AutomaticDestinations\1b4dd67f29cb1962.automaticDestinations-ms,2022-04-19 14:57:15,2015-03-25 15:28:47,2022-04-19 14:58:24,1b4dd67f29cb1962,Windows Explorer Pinned and Recent.,1,17,9,8,2015-03-22 14:49:08,2015-03-23 20:26:53,,00:0c:29:cc:00:8c,\\10.11.11.128\secured_drive\Secret Project Data\pricing decision,0,False,97f0d791-d0a2-11e4-9804-000c29cc008c,97f0d791-d0a2-11e4-9804-000c29cc008c,df81a59c-ffc2-47b4-a00c-576d63471689,df81a59c-ffc2-47b4-a00c-576d63471689,2015-03-22 14:52:21,2015-03-22 14:52:21,2015-03-22 14:52:21,4096,,,FileAttributeDirectory,"HasLinkInfo, IsUnicode, HasExpString",(None),,,,Secret Project Data\pricing decision,\\10.11.11.128\SECURED_DRIVE\Secret Project Data\pricing decision,,,,00:0c:29:cc:00:8c,2015-03-22 14:49:08,"PropertyStoreDataBlock, VistaAndAboveIdListDataBlock, EnvironmentVariableDataBlock, TrackerDataBaseBlock",,
